id	hate_type	hate_severity	to_whom	model
12764	Abusive	Little to None	Society	enhanced_cascade_cv(banglabert->enhanced_banglabert)
202933	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
165894	Abusive	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
124999	Profane	Severe	Community	enhanced_cascade_cv(banglabert->enhanced_banglabert)
535301	Religious Hate	Severe	Individual	enhanced_cascade_cv(banglabert->enhanced_banglabert)
432948	Profane	Severe	Individual	enhanced_cascade_cv(banglabert->enhanced_banglabert)
34737	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
377091	Profane	Severe	Community	enhanced_cascade_cv(banglabert->enhanced_banglabert)
840467	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
361701	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
184161	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
531785	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
402930	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
578332	Political Hate	Severe	Organization	enhanced_cascade_cv(banglabert->enhanced_banglabert)
723077	Abusive	Little to None	Society	enhanced_cascade_cv(banglabert->enhanced_banglabert)
776755	Religious Hate	Mild	Society	enhanced_cascade_cv(banglabert->enhanced_banglabert)
587800	Profane	Severe	Individual	enhanced_cascade_cv(banglabert->enhanced_banglabert)
869387	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
620490	Political Hate	Mild	Organization	enhanced_cascade_cv(banglabert->enhanced_banglabert)
241030	Abusive	Mild	Organization	enhanced_cascade_cv(banglabert->enhanced_banglabert)
764029	Religious Hate	Mild	Community	enhanced_cascade_cv(banglabert->enhanced_banglabert)
174711	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
65995	Political Hate	Severe	Individual	enhanced_cascade_cv(banglabert->enhanced_banglabert)
871343	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
715822	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
106487	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
764737	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
917460	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
