id	label	model
12764	Abusive	cascade_cv(banglabert->banglabert)
202933	None	cascade_cv(banglabert->banglabert)
165894	Abusive	cascade_cv(banglabert->banglabert)
124999	Profane	cascade_cv(banglabert->banglabert)
535301	Religious Hate	cascade_cv(banglabert->banglabert)
432948	Profane	cascade_cv(banglabert->banglabert)
34737	None	cascade_cv(banglabert->banglabert)
377091	Profane	cascade_cv(banglabert->banglabert)
840467	None	cascade_cv(banglabert->banglabert)
361701	None	cascade_cv(banglabert->banglabert)
184161	None	cascade_cv(banglabert->banglabert)
531785	None	cascade_cv(banglabert->banglabert)
402930	None	cascade_cv(banglabert->banglabert)
578332	Political Hate	cascade_cv(banglabert->banglabert)
723077	Abusive	cascade_cv(banglabert->banglabert)
776755	Religious Hate	cascade_cv(banglabert->banglabert)
587800	Profane	cascade_cv(banglabert->banglabert)
869387	None	cascade_cv(banglabert->banglabert)
620490	Political Hate	cascade_cv(banglabert->banglabert)
241030	Abusive	cascade_cv(banglabert->banglabert)
764029	Religious Hate	cascade_cv(banglabert->banglabert)
174711	None	cascade_cv(banglabert->banglabert)
65995	Political Hate	cascade_cv(banglabert->banglabert)
871343	None	cascade_cv(banglabert->banglabert)
715822	None	cascade_cv(banglabert->banglabert)
106487	None	cascade_cv(banglabert->banglabert)
764737	None	cascade_cv(banglabert->banglabert)
917460	None	cascade_cv(banglabert->banglabert)
531356	None	cascade_cv(banglabert->banglabert)
266651	Political Hate	cascade_cv(banglabert->banglabert)
739854	None	cascade_cv(banglabert->banglabert)
266764	None	cascade_cv(banglabert->banglabert)
73332	None	cascade_cv(banglabert->banglabert)
760242	Abusive	cascade_cv(banglabert->banglabert)
320758	None	cascade_cv(banglabert->banglabert)
609567	Abusive	cascade_cv(banglabert->banglabert)
16555	Abusive	cascade_cv(banglabert->banglabert)
404893	Abusive	cascade_cv(banglabert->banglabert)
357862	None	cascade_cv(banglabert->banglabert)
624326	None	cascade_cv(banglabert->banglabert)
364169	Profane	cascade_cv(banglabert->banglabert)
631673	None	cascade_cv(banglabert->banglabert)
