id	hate_severity	model
12764	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
202933	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
165894	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
124999	Severe	enhanced_cascade_cv(banglabert->enhanced_banglabert)
535301	Severe	enhanced_cascade_cv(banglabert->enhanced_banglabert)
432948	Severe	enhanced_cascade_cv(banglabert->enhanced_banglabert)
34737	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
377091	Severe	enhanced_cascade_cv(banglabert->enhanced_banglabert)
840467	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
361701	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
184161	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
531785	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
402930	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
578332	Severe	enhanced_cascade_cv(banglabert->enhanced_banglabert)
723077	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
776755	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
587800	Severe	enhanced_cascade_cv(banglabert->enhanced_banglabert)
869387	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
620490	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
241030	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
764029	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
174711	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
65995	Severe	enhanced_cascade_cv(banglabert->enhanced_banglabert)
871343	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
715822	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
106487	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
764737	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
917460	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
531356	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
266651	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
739854	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
266764	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
73332	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
760242	Severe	enhanced_cascade_cv(banglabert->enhanced_banglabert)
320758	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
609567	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
16555	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
404893	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
357862	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
624326	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
364169	Severe	enhanced_cascade_cv(banglabert->enhanced_banglabert)
631673	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
105543	Severe	enhanced_cascade_cv(banglabert->enhanced_banglabert)
699006	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
701268	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
742298	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
643737	Severe	enhanced_cascade_cv(banglabert->enhanced_banglabert)
689092	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
563553	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
662932	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
473263	Severe	enhanced_cascade_cv(banglabert->enhanced_banglabert)
422168	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
862941	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
342937	Severe	enhanced_cascade_cv(banglabert->enhanced_banglabert)
178372	Severe	enhanced_cascade_cv(banglabert->enhanced_banglabert)
916768	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
215239	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
763206	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
