id	hate_type	hate_severity	to_whom	model
12764	Abusive	Little to None	Society	csebuetnlp/banglabert
202933	None	Little to None	None	csebuetnlp/banglabert
165894	Abusive	Little to None	None	csebuetnlp/banglabert
124999	Profane	Severe	Community	csebuetnlp/banglabert
535301	Religious Hate	Severe	Community	csebuetnlp/banglabert
432948	Profane	Severe	Individual	csebuetnlp/banglabert
34737	None	Little to None	None	csebuetnlp/banglabert
377091	Profane	Severe	Community	csebuetnlp/banglabert
840467	None	Little to None	None	csebuetnlp/banglabert
361701	None	Little to None	None	csebuetnlp/banglabert
184161	None	Little to None	None	csebuetnlp/banglabert
531785	None	Little to None	None	csebuetnlp/banglabert
402930	None	Little to None	None	csebuetnlp/banglabert
578332	Political Hate	Severe	Organization	csebuetnlp/banglabert
723077	Abusive	Little to None	Society	csebuetnlp/banglabert
776755	Religious Hate	Mild	Society	csebuetnlp/banglabert
587800	Profane	Severe	Individual	csebuetnlp/banglabert
869387	None	Little to None	None	csebuetnlp/banglabert
620490	Political Hate	Mild	Organization	csebuetnlp/banglabert
241030	Abusive	Mild	Organization	csebuetnlp/banglabert
764029	Religious Hate	Mild	Community	csebuetnlp/banglabert
174711	None	Little to None	None	csebuetnlp/banglabert
65995	Political Hate	Severe	Individual	csebuetnlp/banglabert
871343	None	Little to None	None	csebuetnlp/banglabert
715822	None	Little to None	None	csebuetnlp/banglabert
106487	None	Little to None	None	csebuetnlp/banglabert
764737	None	Little to None	None	csebuetnlp/banglabert
917460	None	Little to None	None	csebuetnlp/banglabert
531356	None	Little to None	None	csebuetnlp/banglabert
266651	Political Hate	Little to None	Organization	csebuetnlp/banglabert
739854	None	Little to None	None	csebuetnlp/banglabert
266764	None	Little to None	None	csebuetnlp/banglabert
73332	None	Little to None	None	csebuetnlp/banglabert
760242	Abusive	Severe	Individual	csebuetnlp/banglabert
320758	None	Little to None	None	csebuetnlp/banglabert
609567	None	Little to None	None	csebuetnlp/banglabert
16555	Abusive	Mild	Society	csebuetnlp/banglabert
404893	Abusive	Mild	Organization	csebuetnlp/banglabert
357862	None	Little to None	None	csebuetnlp/banglabert
624326	None	Little to None	None	csebuetnlp/banglabert
364169	Profane	Severe	Community	csebuetnlp/banglabert
631673	None	Little to None	None	csebuetnlp/banglabert
105543	Profane	Severe	Individual	csebuetnlp/banglabert
699006	None	Little to None	None	csebuetnlp/banglabert
701268	None	Little to None	None	csebuetnlp/banglabert
742298	Abusive	Mild	Individual	csebuetnlp/banglabert
643737	Abusive	Severe	Community	csebuetnlp/banglabert
689092	None	Little to None	None	csebuetnlp/banglabert
563553	Abusive	Little to None	Community	csebuetnlp/banglabert
662932	None	Little to None	None	csebuetnlp/banglabert
473263	Profane	Severe	Community	csebuetnlp/banglabert
422168	None	Little to None	None	csebuetnlp/banglabert
862941	None	Little to None	None	csebuetnlp/banglabert
